Book_ID,Title,Image_Path,Author_First,Author_Last,Review_Score,Quote
0,Arabian Nights,./images/Bookshelf_Images/All_Fiction_Images/Arabian_Nights.JPG,Tahir,Shah,5,A truth once seen by a single mind ends up by imposing itself on the totality of human consciousness.
1,Aristophanes Two Plays The Birds & The Frogs,./images/Bookshelf_Images/All_Fiction_Images/Aristophanes_Two_Plays_The_Birds_&_The_Frogs.JPG,Aristophanes, ,3,"Quickly, bring me a beaker of wine, so that I may wet my mind and say something clever."
2,Aseop's Fables,./images/Bookshelf_Images/All_Fiction_Images/Aseop's_Fables.JPG,Aseop, ,4,We hang the petty thieves and appoint the great ones to public office.
3,Atlas Shrugged,./images/Bookshelf_Images/All_Fiction_Images/Atlas_Shrugged.JPG,Ayn,Rand,5,"I swear by my life and my love of it that I will never live for the sake of another man, nor ask another man to live for mine."
4,Don Quixote,./images/Bookshelf_Images/All_Fiction_Images/Don_Quixote.JPG,Miguel,de Cervantes,4,"For neither good nor evil can last for ever; and so it follows that as evil has lasted a long time, good must now be close at hand."
5,East of Eden,./images/Bookshelf_Images/All_Fiction_Images/East_of_Eden.JPG,John,Steinbeck,4,"But I have a new love for that glittering instrument, the human soul. It is a lovely and unique thing in the universe. It is always attacked and never destroyed"
6,Euripides,./images/Bookshelf_Images/All_Fiction_Images/Euripides.JPG, ,Euripides,3,"The fiercest anger of all, the most incurable, Is that which rages in the place of dearest love."
7,Faust,./images/Bookshelf_Images/All_Fiction_Images/Faust.JPG,Johann Wolfgang,Von Goethe,4,"All theory is gray, my friend. But forever green is the tree of life."
8,Grimm's Fairy Tales,./images/Bookshelf_Images/All_Fiction_Images/Grimm's_Fairy_Tales.JPG,Jakob,Grimm,4,"Some men are born to good luck: all they do or try to do comes right—all that falls to them is so much gain—all their geese are swans—all their cards are trumps—toss them which way you will, they will always, like poor puss, alight upon their legs, and only move on so much the faster. The world may very likely not always think of them as they think of themselves, but what care they for the world?"
9,Huckleberry Finn,./images/Bookshelf_Images/All_Fiction_Images/Huckleberry_Finn.JPG,Mark,Twain,3,"What’s the use you learning to do right when it’s troublesome to do right and ain’t no trouble to do wrong, and the wages is just the same?"
