Book_ID,Title,Author_First,Author_Last,Image_Path,Review_Score,Description
0,Advances in Financial Machine Learning,Lopez ,del Prado,./images/Bookshelf_Images/All_Textbook_Images/Advances_in_Financial_Machine_Learning.JPG,5,"Machine learning (ML) is changing virtually every aspect of our lives. Today ML algorithms accomplish tasks that until recently only expert humans could perform. As it relates to finance, this is the most exciting time to adopt a disruptive technology that will transform how everyone invests for generations."
1,Algorithims,Thomas,Cormen,./images/Bookshelf_Images/All_Textbook_Images/Algorithims.JPG,5,"Some books on algorithms are rigorous but incomplete; others cover masses of material but lack rigor. Introduction to Algorithms uniquely combines rigor and comprehensiveness. The book covers a broad range of algorithms in depth, yet makes their design and analysis accessible to all levels of readers."
2,Analysis of Numerical Methods,Eugene,Isaacson,./images/Bookshelf_Images/All_Textbook_Images/Analysis_of_Numerical_Methods.JPG,3,"A concise, elementary yet rigorous account of practical numerical methods for solving very general two-point boundary-value problems. Directed to students with a knowledge of advanced calculus and basic numerical analysis, and some background in ordinary differential equations and linear algebra."
3,An Introduction to Quantitative Finance,Stephen,Blyth,./images/Bookshelf_Images/All_Textbook_Images/An_Introduction_to_Quantitative_Finance.JPG,3,"This text offers an accessible yet rigorous development of many of the fields of mathematics necessary for success in investment and quantitative finance, covering topics applicable to portfolio theory, investment banking, option pricing, investment, and insurance risk management."
4,An Introduction to Statistical Learning,Trevor,Hastie,./images/Bookshelf_Images/All_Textbook_Images/An_Introduction_to_Statistical_Learning.JPG,4,"An Introduction to Statistical Learning provides an accessible overview of the field of statistical learning, an essential toolset for making sense of the vast and complex data sets that have emerged in fields ranging from biology to finance to marketing to astrophysics in the past twenty years."
5,Applied Calculus & Regression Analysis,Terry,Dielman,./images/Bookshelf_Images/All_Textbook_Images/Applied_Calculus_&_Regression_Analysis.JPG,3,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Quod autem magnum dolorem brevem, longinquum levem esse dicitis, id non intellego quale sit. Quorum altera prosunt, nocent altera. Ita graviter et severe voluptatem secrevit a bono. Quid ergo attinet dicere:Lorem ipsum dolor sit amet, consectetur adipiscing elit. Quod autem magnum dolorem brevem, longinquum levem esse dicitis, id non intellego quale sit. "
6,Applied Statistics & Probability for Engineers,Douglas,Montgomery,./images/Bookshelf_Images/All_Textbook_Images/Applied_Statistics_&_Probability_for_Engineers.JPG,3,"Applied Statistics and Probability for Engineers, 6th Edition provides a practical approach oriented to engineering as well as chemical and physical sciences. Students learn how the material will be relevant in their careers through the integration throughout of unique problem sets that reflect realistic applications and situations. "
7,Arduino Workshop,John,Boxall,./images/Bookshelf_Images/All_Textbook_Images/Arduino_Workshop.JPG,4,"Through 65 hands-on projects, Arduino Workshop will teach you the tricks and design principles of a master craftsman."
8,Artifical Intelligence a Modern Approach,Peter,Norvig,./images/Bookshelf_Images/All_Textbook_Images/Artifical_Intelligence_a_Modern_Approach.JPG,5,"The most comprehensive, up-to-date introduction to the theory and practice of artificial intelligence. This book expertly and intuitively covers the most foundational and bleeding edge of the growing field of AI."
9,A Classical Introduction to Modern Number Theory,Kenneth,Ireland,./images/Bookshelf_Images/All_Textbook_Images/A_Classical_Introduction_to_Modern_Number_Theory.JPG,4,"This well-developed, accessible text details the historical development of the subject throughout. It also provides wide-ranging coverage of significant results with comparatively elementary proofs, some of them new."
10,A New Kind of Science,Stephen,Wolfram,./images/Bookshelf_Images/All_Textbook_Images/A_New_Kind_of_Science.JPG,5,Starting from a collection of simple computer experiments illustrated by striking computer graphics Stephen Wolfram shows in this landmark book how their unexpected results force a whole new way of looking at the operation of our universe.
11,A Practical Guide to Splines,Carl,de Boor,./images/Bookshelf_Images/All_Textbook_Images/A_Practical_Guide_to_Splines.JPG,2,"This book is based on the author’s experience with calculations involving polynomial splines, presenting those parts of the theory especially useful in calculations and stressing the representation of splines as weighted sums of B-splines."
12,A Primer for the Mathematics of Financial Engineering,Dan,Stefanica,./images/Bookshelf_Images/All_Textbook_Images/A_Primer_for_the_Mathematics_of_Financial_Engineering.JPG,4,This book builds the solid mathematical foundation required to understand the quantitative models used in financial engineering.
13,A Project to Find the Fundamental Theory of Physics,Stephen,Wolfram,./images/Bookshelf_Images/All_Textbook_Images/A_Project_to_Find_the_Fundamental_Theory_of_Physics.JPG,5,"Released alongside the launch of the Wolfram Physics Project, this book provides a unique opportunity to learn about a historic initiative in science right as it is happening. The Wolfram Physics Project is a bold effort to use breakthrough new ideas and the latest in physics, mathematics and computation to find the fundamental theory of physics, often viewed as the ultimate goal in all of science."
14,Bulletproof SSL & TLS,Ivan,Ristic,./images/Bookshelf_Images/All_Textbook_Images/Bulletproof_SSL_&_TLS.JPG,3,"Bulletproof SSL and TLS is a complete guide to using SSL and TLS encryption to deploy secure servers and web applications. Written by Ivan Ristic, the author of the popular SSL Labs web site, this book will teach you everything you need to know to protect your systems from eavesdropping and impersonation attacks."
15,Chess Fundamentals,Jose,Casablanca,./images/Bookshelf_Images/All_Textbook_Images/Chess_Fundamentals.JPG,4,"Written with the novice chess player in mind, Chess Fundamentals equips you with the essential opening, middlegame, and endgame techniques needed to advance your game."
16,Classical Dynamics of Particles and Systems,Stepen,Thornton,./images/Bookshelf_Images/All_Textbook_Images/Classical_Dynamics_of_Particles_and_Systems.JPG,4,"This best-selling classical mechanics text, written for the advanced undergraduate one- or two-semester course, provides a complete account of the classical mechanics of particles, systems of particles, and rigid bodies. Vector calculus is used extensively to explore topics."
17,Combinatorics,Stephen,Wolfram,./images/Bookshelf_Images/All_Textbook_Images/Combinatorics.JPG,4,"Stephen Wolfram provides a modern view of combinators and their significance. Informed by his work on the computational universe of possible programs and on computational language design, Wolfram explains new and existing ideas about combinators with unique clarity and stunning visualizations."
18,Compilers,Alfred,Aho,./images/Bookshelf_Images/All_Textbook_Images/Compilers.JPG,5,"The Dragon Book, as it is affectionately named, is something of a legendary resource among programmers and computer-science students. Not only is it one of the only references on the subject of compilers as a whole, but it's very well-written and contains a huge amount of information."
19,Computer Networks,Andrew,Tanenbaum,./images/Bookshelf_Images/All_Textbook_Images/Computer_Networks.JPG,5,"In Computer Networks,Tanenbaum et al. explain how networks work from the inside out. They start withthe physical layer of networking, computer hardware and transmission systems,then work their way up to network applications. "
20,Convex Optimization,Lieven,Vandenberghe,./images/Bookshelf_Images/All_Textbook_Images/Convex_Optimization.JPG,5,"Convex optimization problems arise frequently in many different fields. A comprehensive introduction to the subject, this book shows in detail how such problems can be solved numerically with great efficiency."
21,Database Systems,Ramex,Elmasri,./images/Bookshelf_Images/All_Textbook_Images/Database_Systems.JPG,3,"The book is meant to be used as a textbook for a one- or two-semester course in database systems at the junior, senior, or graduate level, and as a reference book. The goal is to provide an in-depth and up-to-date presentation of the most important aspects of database systems and applications, and related technologies."
22,Deep Learning,Ian,Goodman,./images/Bookshelf_Images/All_Textbook_Images/Deep_Learning.JPG,4,"The text offers mathematical and conceptual background, covering relevant concepts in linear algebra, probability theory and information theory, numerical computation, and machine learning. It describes deep learning techniques used by practitioners in industry, including deep feedforward networks, regularization, optimization algorithms, convolutional networks, sequence modeling, and practical methodology."
23,Deep Learning with Python,Francois,Chollet,./images/Bookshelf_Images/All_Textbook_Images/Deep_Learning_with_Python.JPG,5,"Deep Learning with Python introduces the field of deep learning using the Python language and the powerful Keras library. Written by Keras creator and Google AI researcher François Chollet, this book builds your understanding through intuitive explanations and practical examples."
24,Deep Reinforcement Learning,Miguel,Morales,./images/Bookshelf_Images/All_Textbook_Images/Deep_Reinforcement_Learning.JPG,5,Grokking Deep Reinforcement Learning uses engaging exercises to teach you how to build deep learning systems. This book combines annotated Python code with intuitive explanations to explore DRL techniques.
