Project_Category,Project_Name,Project_Image_Path,Project_Tags,Project_Link,Project_Description
Current Projects,SignaturePaws.org V2,./images/Project_Images/signature_paws_website.jpg,Javascript-HTML-SCSS-SQL,https://github.com/EvanJ3/Signature-Paws,"Previously I created this website using Wix due to a time crunch, but now that I have some extra time. I've taken to cloning the website with a few modification from scratch. Why pay someone to manage your site when you can do it yourself?"
Current Projects,Andrew Jones Custom Homes.com,./images/Project_Images/aj_homes_logo_filled.png,Javascript-HTML-SCSS-SQL,https://github.com/EvanJ3/Andrew-Jones-Homes,I'm working on creating a website for my dad's business to showcases some of the great homes he has built over the years while also serving as a tool to recurit talented sub-contractors to join his ongoing projects. Similar to my other sights everything is built from scratch.
Current Projects,DeepDubber,./images/Research_Images/Deep_Dub_Thumbnail.png,Pytorch-NLP-Computer Vision-Cuda,https://github.com/EvanJ3/Deep-Dubber,"Since the emergence of transformers in the field of natural language processing, which have vastly improved our capacity for langague translation, I have been working to extend this concept to the realm of audio dubbing. Using transformer networks for the translation task, and an additional GAN which transforms a source video into the target langague video I aim to achieve an AI assisted audio/visual dubbing platform."
Machine Learning Projects,Analyzing European Food Consumption with PCA,./images/Project_Images/european_food_consumption_pca.png,Python-NumPy-Pandas-Matplotlib,./jupyter knits/Food_Consumption_PCA.html,"In this project, I will explain the underlying mathematics and applications of Principal Components Analysis utilizing a dataset about food consumption by different European countries as a motivating example. In this notebook we also cover a scratch implementation of PCA using only NumPy."
Machine Learning Projects,Eigenfaces,./images/Project_Images/Eigenfaces_Thumbnail.png,Python-Numpy-Computer Vision-Sklearn,./jupyter knits/Eigenfaces.html,"In this project I implement a simple PCA based facial recognition system for use on the Yale faces dataset. Although simple PCA has proven to yield interesting and effective insights into the facial recognition task."
Machine Learning Projects,Isomap,./images/Project_Images/Isomap_Thumbnail.png,Python-Numpy-Computer Vision,./jupyter knits/Isomap_Faces.html,"In this project I replicate the IsoMap paper which improves upon the many shortfalls and weaknesses of PCA and MDS. As examples I utilize a comparison of PCA to Isomap on both a facial orientation dataset as well as a simulated Swiss roll dataset.".
Machine Learning Projects,Big Brother Oracle,./images/Project_Images/big_brother.jpg,Sklearn-Pytorch-Python-Numpy-Plotly-Flask,https://github.com/EvanJ3/Big-Brother-Oracle,"Big Brother is a popular reality show on CBS where contestants live in a house isolated entirely from the outside world for a chance to win a half-million dollar grand prize. In this project, I collected data from all seasons and all previous players in an effort to predict winning probablities for each player on a rolling basis as the game progresses."
Machine Learning Projects,K-Medoids,./images/Project_Images/K_Medoids_Thumbnail.png,Python-Numpy-Image Compression,./jupyter knits/K_Medoids.html,"In this project I give a full mathematical treatment as well as a pure python implementation of the K-Medoids algorithim. The task of image compression is utilized as a motivating example for the project.".
Machine Learning Projects,Spectral Clustering,./images/Project_Images/Spectral_Clustering_Thumbnail.png,Python-Numpy-Directed Graphs-Networks,./jupyter knits/Spectral_Clustering.html,"In this project we utilize a widely explored political blogs dataset from 2004 which tracks blog membership across users. We will use this data to explore the existance and prevaliance of densely connected neighborhoods/communities of users across different blogs by applying a pure python implementation of spectral clustering. ".
Machine Learning Projects,K-Means,./images/Project_Images/K_Means_Thumbnail.png,Python-Numpy-Image Compression,./jupyter knits/K_Means.html,"In this project I give a full mathematical treatment as well as a pure python implementation of the K-Means algorithim. The task of image compression is utilized as a motivating example for the project.".
Machine Learning Projects,Fake News Detection,./images/Research_Images/Fake_News_Thumbnail.png,TensorFlow-Sklearn-LaTeX-NLP,https://github.com/EvanJ3/Fake-News-Detection,"In this project, I utilize existing disingenious review databases as well as satirical writings to train a neural network capable of identifying fake news articles with >90% out of sample accuracy."
