Book_ID,Title,Author_First,Author_Last,Fiction,Genre,Topic,Region,Pages,Read,Description,Score,Review,Tags,Image_Path
1,A Brief History of Time,Stephen,Hawking,FALSE,Math & Science,Physics,Great Britan,100,TRUE,Pass for now,4,Pass for now,Pass for now,./bookshelf_images/A_Brief_History_of_Time.JPG
2,A Primer for the Mathematics of Financial Engineering,Dan,Stefanica,FALSE,,,,100,TRUE,Pass for now,3,Pass for now,Pass for now,./bookshelf_images/A_Primer_for_the_Mathematics_of_Financial_Engineering.JPG
3,Analysis of Numerical Methods,Eugene,Isaacson,FALSE,,,,100,FALSE,Pass for now,0,Pass for now,Pass for now,./bookshelf_images/Analysis_of_Numerical_Methods.JPG
4,Anna Karenina,Leo,Tolstoy,TRUE,,,,100,TRUE,Pass for now,4,Pass for now,Pass for now,./bookshelf_images/Anna_Karenina.JPG
5,Applied Calculus & Regression Analysis,Tan,Dielman,FALSE,,,,100,TRUE,Pass for now,3,Pass for now,Pass for now,./bookshelf_images/Applied_Calculus_&_Regression_Analysis.JPG
6,Arabian Nights,Various Authors,,TRUE,,,,100,FALSE,Pass for now,0,Pass for now,Pass for now,./bookshelf_images/Arabian_Nights.JPG
7,Atlas Shrugged,Ayn,Rand,TRUE,,,,100,TRUE,Pass for now,5,Pass for now,Pass for now,./bookshelf_images/Atlas_Shrugged.JPG
8,Celtic Myths and Legends,T.W.,Rolleston,FALSE,,,,100,FALSE,Pass for now,0,Pass for now,Pass for now,./bookshelf_images/Celtic_Myths_and_Legends.JPG
9,Classical Dynamics of Particles and Systems,Stephen,Thornton,FALSE,,,,100,FALSE,Pass for now,0,Pass for now,Pass for now,./bookshelf_images/Classical_Dynamics_of_Particles_and_Systems.JPG
10,Crime and Punishment,Fyodor,Dostoevsky,TRUE,,,,100,TRUE,Pass for now,4,Pass for now,Pass for now,./bookshelf_images/Crime_and_Punishment.JPG
11,Decline and Fall of the Roman Empire,Edward,Gibbon,FALSE,,,,100,FALSE,Pass for now,0,Pass for now,Pass for now,./bookshelf_images/Decline_and_Fall_of_the_Roman_Empire.JPG
12,Deep Learning with Python,Francois,Chollet,FALSE,,,,100,TRUE,Pass for now,5,Pass for now,Pass for now,./bookshelf_images/Deep_Learning_with_Python.JPG
13,Don Quixote,Miguel,de Cervantes,TRUE,,,,100,FALSE,Pass for now,0,Pass for now,Pass for now,./bookshelf_images/Don_Quixote.JPG
14,Essentials of Investments,Zvi,Bodie,FALSE,,,,100,TRUE,Pass for now,4,Pass for now,Pass for now,./bookshelf_images/Essentials_of_Investments.JPG
15,Fermats Enigma,Simon,Singh,FALSE,,,,100,FALSE,Pass for now,0,Pass for now,Pass for now,./bookshelf_images/Fermats_Enigma.JPG
16,Hedge Fund Secrects,Tucker,Balch,FALSE,,,,100,TRUE,Pass for now,1,Pass for now,Pass for now,./bookshelf_images/Hedge_Fund_Secrects.JPG
17,Incerto,Nassim,Taleb,FALSE,,,,100,TRUE,Pass for now,5,Pass for now,Pass for now,./bookshelf_images/Incerto.JPG
18,Introduction to Classical Mechanics,David,Morin,FALSE,,,,100,FALSE,Pass for now,0,Pass for now,Pass for now,./bookshelf_images/Introduction_to_Classical_Mechanics.JPG
19,Les Miserables,Victor,Hugo,TRUE,,,,100,FALSE,Pass for now,0,Pass for now,Pass for now,./bookshelf_images/Les_Miserables.JPG
20,Liars Poker,Michael,Lewis,FALSE,,,,100,TRUE,Pass for now,4,Pass for now,Pass for now,./bookshelf_images/Liars_Poker.JPG
