,Title,Image_Path
0,Advances in Financial Machine Learning,./bookshelf_images/Advances_in_Financial_Machine_Learning.JPG
1,Algorithims,./bookshelf_images/Algorithims.JPG
2,Analysis of Numerical Methods,./bookshelf_images/Analysis_of_Numerical_Methods.JPG
3,Animal Farm,./bookshelf_images/Animal_Farm.JPG
4,Anna Karenina,./bookshelf_images/Anna_Karenina.JPG
5,An Introduction to Quantitative Finance,./bookshelf_images/An_Introduction_to_Quantitative_Finance.JPG
6,An Introduction to Statistical Learning,./bookshelf_images/An_Introduction_to_Statistical_Learning.JPG
7,Applied Calculus & Regression Analysis,./bookshelf_images/Applied_Calculus_&_Regression_Analysis.JPG
8,Applied Statistics & Probability for Engineers,./bookshelf_images/Applied_Statistics_&_Probability_for_Engineers.JPG
9,Arabian Nights,./bookshelf_images/Arabian_Nights.JPG
10,Arduino Workshop,./bookshelf_images/Arduino_Workshop.JPG
11,Aristophanes Two Plays The Birds & The Frogs,./bookshelf_images/Aristophanes_Two_Plays_The_Birds_&_The_Frogs.JPG
12,Artifical Intelligence a Modern Approach,./bookshelf_images/Artifical_Intelligence_a_Modern_Approach.JPG
13,Aseop's Fables,./bookshelf_images/Aseop's_Fables.JPG
14,Atlas Shrugged,./bookshelf_images/Atlas_Shrugged.JPG
15,A Brief History of Everything,./bookshelf_images/A_Brief_History_of_Everything.JPG
16,A Brief History of Time,./bookshelf_images/A_Brief_History_of_Time.JPG
17,A Classical Introduction to Modern Number Theory,./bookshelf_images/A_Classical_Introduction_to_Modern_Number_Theory.JPG
18,A Gentleman in Moscow,./bookshelf_images/A_Gentleman_in_Moscow.JPG
19,A Higher Loyalty,./bookshelf_images/A_Higher_Loyalty.JPG
20,A New Kind of Science,./bookshelf_images/A_New_Kind_of_Science.JPG
21,A Practical Guide to Splines,./bookshelf_images/A_Practical_Guide_to_Splines.JPG
22,A Primer for the Mathematics of Financial Engineering,./bookshelf_images/A_Primer_for_the_Mathematics_of_Financial_Engineering.JPG
23,A Project to Find the Fundamental Theory of Physics,./bookshelf_images/A_Project_to_Find_the_Fundamental_Theory_of_Physics.JPG
24,A Random Walk Down Wall Street,./bookshelf_images/A_Random_Walk_Down_Wall_Street.JPG
25,Barack Obama,./bookshelf_images/Barack_Obama.JPG
26,Big Debt Crises,./bookshelf_images/Big_Debt_Crises.JPG
27,Brotopia,./bookshelf_images/Brotopia.JPG
28,Bulletproof SSL & TLS,./bookshelf_images/Bulletproof_SSL_&_TLS.JPG
29,Catch and Kill,./bookshelf_images/Catch_and_Kill.JPG
30,Celtic Myths and Legends,./bookshelf_images/Celtic_Myths_and_Legends.JPG
31,Chaos,./bookshelf_images/Chaos.JPG
32,Chess Fundamentals,./bookshelf_images/Chess_Fundamentals.JPG
33,CIA Lock Picking,./bookshelf_images/CIA_Lock_Picking.JPG
34,Citizen,./bookshelf_images/Citizen.JPG
35,Classical Dynamics of Particles and Systems,./bookshelf_images/Classical_Dynamics_of_Particles_and_Systems.JPG
36,Code,./bookshelf_images/Code.JPG
37,Collapse,./bookshelf_images/Collapse.JPG
38,Combinatorics,./bookshelf_images/Combinatorics.JPG
39,Compilers,./bookshelf_images/Compilers.JPG
40,Computer Networks,./bookshelf_images/Computer_Networks.JPG
41,Convex Optimization,./bookshelf_images/Convex_Optimization.JPG
42,Crime and Punishment,./bookshelf_images/Crime_and_Punishment.JPG
43,Database Systems,./bookshelf_images/Database_Systems.JPG
44,Decline and Fall of the Roman Empire,./bookshelf_images/Decline_and_Fall_of_the_Roman_Empire.JPG
45,Deep Learning,./bookshelf_images/Deep_Learning.JPG
46,Deep Learning with Python,./bookshelf_images/Deep_Learning_with_Python.JPG
47,Deep Reinforcement Learning,./bookshelf_images/Deep_Reinforcement_Learning.JPG
48,Deep Reinforcement Learning Hands On,./bookshelf_images/Deep_Reinforcement_Learning_Hands_On.JPG
49,Deep Thinking,./bookshelf_images/Deep_Thinking.JPG
50,Design Patterns,./bookshelf_images/Design_Patterns.JPG
51,Dialogues on Love & Friendship,./bookshelf_images/Dialogues_on_Love_&_Friendship.JPG
52,Discrete Mathematics,./bookshelf_images/Discrete_Mathematics.JPG
53,Docker Deep Dive,./bookshelf_images/Docker_Deep_Dive.JPG
54,Don Quixote,./bookshelf_images/Don_Quixote.JPG
55,Dynamic Programming & Optimal Control Volume 2,./bookshelf_images/Dynamic_Programming_&_Optimal_Control_Volume_2.JPG
56,East of Eden,./bookshelf_images/East_of_Eden.JPG
57,Easy as Pi,./bookshelf_images/Easy_as_Pi.JPG
58,Einstein,./bookshelf_images/Einstein.JPG
59,Elementary Differential Equations & Boundary Value Problems,./bookshelf_images/Elementary_Differential_Equations_&_Boundary_Value_Problems.JPG
60,Elements of Information Theory,./bookshelf_images/Elements_of_Information_Theory.JPG
61,Elements of Statistical Learning,./bookshelf_images/Elements_of_Statistical_Learning.JPG
62,Elon Musk,./bookshelf_images/Elon_Musk.JPG
63,Essentials of Investments,./bookshelf_images/Essentials_of_Investments.JPG
64,Euclid in the Rainforest,./bookshelf_images/Euclid_in_the_Rainforest.JPG
65,Euripides,./bookshelf_images/Euripides.JPG
66,Fathers & Sons,./bookshelf_images/Fathers_&_Sons.JPG
67,Faust,./bookshelf_images/Faust.JPG
68,Fermats Enigma,./bookshelf_images/Fermats_Enigma.JPG
69,Fifty Challenging Problems in Probability,./bookshelf_images/Fifty_Challenging_Problems_in_Probability.JPG
70,Financial Instutions Markets & Money,./bookshelf_images/Financial_Instutions_Markets_&_Money.JPG
71,Financial Signal Processing & Machine Learning,./bookshelf_images/Financial_Signal_Processing_& Machine_Learning.JPG
72,Fixed Income Securities,./bookshelf_images/Fixed_Income_Securities.JPG
73,Flash Boys,./bookshelf_images/Flash_Boys.JPG
74,Follow the Smart Money,./bookshelf_images/Follow_the_Smart_Money.JPG
75,Foundations of Machine Learning,./bookshelf_images/Foundations_of_Machine_Learning.JPG
76,Fractals in Nature,./bookshelf_images/Fractals_in_Nature.JPG
77,Futures Market,./bookshelf_images/Futures_Market.JPG
78,Game Theory 101,./bookshelf_images/Game_Theory_101.JPG
79,Generative Deep Learning,./bookshelf_images/Generative_Deep_Learning.JPG
80,Geometry an Introduction,./bookshelf_images/Geometry_an_Introduction.JPG
81,Germs Guns & Steel,./bookshelf_images/Germs_Guns_&_Steel.JPG
82,Godel Escher & Bach,./bookshelf_images/Godel_Escher_&_Bach.JPG
83,Golasa Russian I,./bookshelf_images/Golasa_Russian_I.JPG
84,Google Hacking,./bookshelf_images/Google_Hacking.JPG
85,Grimm's Fairy Tales,./bookshelf_images/Grimm's_Fairy_Tales.JPG
86,Guide to Numpy,./bookshelf_images/Guide_to_Numpy.JPG
87,Hacking the Art of Exploitation,./bookshelf_images/Hacking_the_Art_of_Exploitation.JPG
88,Hands on Machine Learning with Scikit Learn & Tensorflow,./bookshelf_images/Hands_on_Machine_Learning_with_Scikit_Learn_&_Tensorflow.JPG
89,Harvard Classics,./bookshelf_images/Harvard_Classics.JPG
90,Hedge Fund Secrects,./bookshelf_images/Hedge_Fund_Secrects.JPG
91,High Performance Python,./bookshelf_images/High_Performance_Python.JPG
92,How to Win Friends and Influence People,./bookshelf_images/How_to_Win_Friends_and_Influence_People.JPG
93,HTML & CSS,./bookshelf_images/HTML_&_CSS.JPG
94,Huckleberry Finn,./bookshelf_images/Huckleberry_Finn.JPG
95,Imaginary Numbers,./bookshelf_images/Imaginary_Numbers.JPG
96,Incerto,./bookshelf_images/Incerto.JPG
97,Information Theory,./bookshelf_images/Information_Theory.JPG
98,Interactive Data Visualization for the Web,./bookshelf_images/Interactive_Data_Visualization_for_the_Web.JPG
99,International Financial Management,./bookshelf_images/International_Financial_Management.JPG
100,Introduction to Applied Linear Algebra,./bookshelf_images/Introduction_to_Applied_Linear_Algebra.JPG
101,Introduction to Classical Mechanics,./bookshelf_images/Introduction_to_Classical_Mechanics.JPG
102,Introduction to Electrodynamics,./bookshelf_images/Introduction_to_Electrodynamics.JPG
103,Introduction to Linear Algebra,./bookshelf_images/Introduction_to_Linear_Algebra.JPG
104,Javascript & jQuery,./bookshelf_images/Javascript_&_jQuery.JPG
105,Kissinger,./bookshelf_images/Kissinger.JPG
106,Learning from Data,./bookshelf_images/Learning_from_Data.JPG
107,Learning React,./bookshelf_images/Learning_React.JPG
108,Learning SQL,./bookshelf_images/Learning_SQL.JPG
109,Learning with Kernels,./bookshelf_images/Learning_with_Kernels.JPG
110,Legacy of Ashes,./bookshelf_images/Legacy_of_Ashes.JPG
111,Les Miserables,./bookshelf_images/Les_Miserables.JPG
112,Liars Poker,./bookshelf_images/Liars_Poker.JPG
113,Lincoln at the Bardo,./bookshelf_images/Lincoln_at_the_Bardo.JPG
114,Linear Algebra,./bookshelf_images/Linear_Algebra.JPG
115,Linear Algebra Done Right,./bookshelf_images/Linear_Algebra_Done_Right.JPG
116,Livy a History of Early Rome,./bookshelf_images/Livy_a_History_of_Early_Rome.JPG
117,Lord Jim,./bookshelf_images/Lord_Jim.JPG
118,Machine Learning a Probablistic Perspective,./bookshelf_images/Machine_Learning_a_Probablistic_Perspective.JPG
119,Machine Learning in Computational Finance,./bookshelf_images/Machine_Learning_in_Computational_Finance.JPG
120,Mastering Blockchain,./bookshelf_images/Mastering_Blockchain.JPG
121,Mastering Machine Learning with R,./bookshelf_images/Mastering_Machine_Learning_with_R.JPG
122,Mastering Machine Learning with Scikit learn,./bookshelf_images/Mastering_Machine_Learning_with_Scikit_learn.JPG
123,Mastering Pandas for Finance,./bookshelf_images/Mastering_Pandas_for_Finance.JPG
124,Mathematics and its History,./bookshelf_images/Mathematics_and_its_History.JPG
125,Moby Dick,./bookshelf_images/Moby_Dick.JPG
126,Modern Computer Architecture and Organization,./bookshelf_images/Modern_Computer_Architecture_and_Organization.JPG
127,Myths and Legends of Ancient Egypt,./bookshelf_images/Myths_and_Legends_of_Ancient_Egypt.JPG
128,Myths and Legends of Babylonia and Assyria,./bookshelf_images/Myths_and_Legends_of_Babylonia_and_Assyria.JPG
129,Myths and Legends of China,./bookshelf_images/Myths_and_Legends_of_China.JPG
130,Myths and Legends of Japan,./bookshelf_images/Myths_and_Legends_of_Japan.JPG
131,Myths of the North American Indians,./bookshelf_images/Myths_of_the North_American_Indians.JPG
132,Myths of the Hindus and Buddhists,./bookshelf_images/Myths_of_the_Hindus_and_Buddhists.JPG
133,Myths of the Norsemen,./bookshelf_images/Myths_of_the_Norsemen.JPG
134,Natural Language Processing,./bookshelf_images/Natural_Language_Processing.JPG
135,Neural Networks in Fincance,./bookshelf_images/Neural_Networks_in_Fincance.JPG
136,No Place to Hide,./bookshelf_images/No_Place_to_Hide.JPG
137,Numerical Linear Algebra,./bookshelf_images/Numerical_Linear_Algebra.JPG
138,Numerical Optimization,./bookshelf_images/Numerical_Optimization.JPG
139,Options Futures and Other Derivatives,./bookshelf_images/Options_Futures_and_Other_Derivatives.JPG
140,Pattern Recognition and Machine Learning,./bookshelf_images/Pattern_Recognition_and_Machine_Learning.JPG
141,Permanent Record,./bookshelf_images/Permanent_Record.JPG
142,PHP MySQL & Javascript,./bookshelf_images/PHP_MySQL_&_Javascript.JPG
143,Politics & Poetics,./bookshelf_images/Politics_&_Poetics.JPG
144,Practical Malware Analysis,./bookshelf_images/Practical_Malware_Analysis.JPG
145,Principles,./bookshelf_images/Principles.JPG
146,Probabilistic Graphical Models,./bookshelf_images/Probabilistic_Graphical_Models.JPG
147,Pro Git,./bookshelf_images/Pro_Git.JPG
148,Python for Data Analysis,./bookshelf_images/Python_for_Data_Analysis.JPG
149,Python Machine Learning,./bookshelf_images/Python_Machine_Learning.JPG
150,Quantum Mechanics,./bookshelf_images/Quantum_Mechanics.JPG
151,Red Team Field Mannual,./bookshelf_images/Red_Team_Field_Mannual.JPG
152,Reinforcement Learning,./bookshelf_images/Reinforcement_Learning.JPG
153,Reminices of a Stock Operator,./bookshelf_images/Reminices_of_a_Stock_Operator.JPG
154,Sacred Texts,./bookshelf_images/Sacred_Texts.JPG
155,Sapiens,./bookshelf_images/Sapiens.JPG
156,Scikit Learn Cookbook,./bookshelf_images/Scikit_Learn_Cookbook.JPG
157,Shakespeare Plays,./bookshelf_images/Shakespeare_Plays.JPG
158,Shortest Way Home,./bookshelf_images/Shortest_Way_Home.JPG
159,Simulation Modeling and Analysis,./bookshelf_images/Simulation_Modeling_and_Analysis.JPG
160,Spy Catcher,./bookshelf_images/Spy_Catcher.JPG
161,Statistical Consequences of Fat Tails,./bookshelf_images/Statistical_Consequences_of_Fat_Tails.JPG
162,Steve Jobs,./bookshelf_images/Steve_Jobs.JPG
163,Stochastic Calculus for Finance I,./bookshelf_images/Stochastic_Calculus_for_Finance_I.JPG
164,Stochastic Calculus for Finance II,./bookshelf_images/Stochastic_Calculus_for_Finance_II.JPG
165,TCP & IP Illustrated Volume 1,./bookshelf_images/TCP_&_IP_Illustrated_Volume_1.JPG
166,TCP & IP Illustrated Volume 2,./bookshelf_images/TCP_&_IP_Illustrated_Volume_2.JPG
167,TCP & IP Illustrated Volume 3,./bookshelf_images/TCP_&_IP_Illustrated_Volume_3.JPG
168,Technical Analysis Explained,./bookshelf_images/Technical_Analysis_Explained.JPG
169,Test Scores,./bookshelf_images/Test_Scores.JPG
170,Theory of Games and Economic Behavior,./bookshelf_images/Theory_of_Games_and_Economic_Behavior.JPG
171,Thermal Physics,./bookshelf_images/Thermal_Physics.JPG
172,The (Mis) Behavior of Markets,./bookshelf_images/The_(Mis)_Behavior_of_Markets.JPG
173,The Aeneid,./bookshelf_images/The_Aeneid.JPG
174,The Art of Computer Programming Volume 1,./bookshelf_images/The_Art_of_Computer_Programming_Volume_1.JPG
175,The Art of Computer Programming Volume 2,./bookshelf_images/The_Art_of_Computer_Programming_Volume_2.JPG
176,The Art of Computer Programming Volume 3,./bookshelf_images/The_Art_of_Computer_Programming_Volume_3.JPG
177,The Art of Computer Programming Volume 4A,./bookshelf_images/The_Art_of_Computer_Programming_Volume_4A.JPG
178,The Art of Electronics,./bookshelf_images/The_Art_of_Electronics.JPG
179,The Art of Electronics X Chapters,./bookshelf_images/The_Art_of_Electronics_X_Chapters.JPG
180,The Art of the Deal,./bookshelf_images/The_Art_of_the_Deal.JPG
181,The Art of War,./bookshelf_images/The_Art_of_War.JPG
182,The Basics of Hacking & Penetration Testing,./bookshelf_images/The_Basics_of_Hacking_&_Penetration_Testing.JPG
183,The Brothers Karamazov,./bookshelf_images/The_Brothers_Karamazov.JPG
184,The Cherry Orchard & Three Sisters,./bookshelf_images/The_Cherry_Orchard_&_Three_Sisters.JPG
185,The Code Book,./bookshelf_images/The_Code_Book.JPG
186,The Confessions of Jean Jacques Rousseau,./bookshelf_images/The_Confessions_of_Jean_Jacques_Rousseau.JPG
187,The Confessions of St. Augustine,./bookshelf_images/The_Confessions_of_St._Augustine.JPG
188,The Count of Monte Cristo,./bookshelf_images/The_Count_of_Monte_Cristo.JPG
189,The Courage to Act,./bookshelf_images/The_Courage_to_Act.JPG
190,The Curious Case of Dr. Jekel & Mr. Hyde,./bookshelf_images/The_Curious_Case_of_Dr._Jekel_&_Mr._Hyde.JPG
191,The C Programming Language,./bookshelf_images/The_C_Programming_Language.JPG
192,The Decline and Fall of the Roman Empire,./bookshelf_images/The_Decline_and_Fall_of_the_Roman_Empire.JPG
193,The Divine Comedy,./bookshelf_images/The_Divine_Comedy.JPG
194,The Effayes,./bookshelf_images/The_Effayes.JPG
195,The Federalist,./bookshelf_images/The_Federalist.JPG
196,The Feynman Lectures Volume 1,./bookshelf_images/The_Feynman_Lectures_Volume_1.JPG
197,The Feynman Lectures Volume 2,./bookshelf_images/The_Feynman_Lectures_Volume_2.JPG
198,The Feynman Lectures Volume 3,./bookshelf_images/The_Feynman_Lectures_Volume_3.JPG
199,The Greatest Trade Ever,./bookshelf_images/The_Greatest_Trade_Ever.JPG
200,The Greek Myths Volume 1,./bookshelf_images/The_Greek_Myths_Volume_1.JPG
201,The Greek Myths Volume 2,./bookshelf_images/The_Greek_Myths_Volume_2.JPG
202,The Hacker Playbook,./bookshelf_images/The_Hacker_Playbook.JPG
203,The Hero with a Thousand Faces,./bookshelf_images/The_Hero_with_a_Thousand_Faces.JPG
204,The Iliad,./bookshelf_images/The_Iliad.JPG
205,The Intelligent Investor,./bookshelf_images/The_Intelligent_Investor.JPG
206,The Last Wish,./bookshelf_images/The_Last_Wish.JPG
207,The Legend of Sleepy Hollow,./bookshelf_images/The_Legend_of_Sleepy_Hollow.JPG
208,The Linux Command Line,./bookshelf_images/The_Linux_Command_Line.JPG
209,The Man Who Solved the Market,./bookshelf_images/The_Man_Who_Solved_the_Market.JPG
210,The Millennium Problems,./bookshelf_images/The_Millennium_Problems.JPG
211,The Odssey,./bookshelf_images/The_Odssey.JPG
212,The Oresteia,./bookshelf_images/The_Oresteia.JPG
213,The Portrait of an Artist as a Young Man,./bookshelf_images/The_Portrait_of_an_Artist_as_a_Young_Man.JPG
214,The Prince,./bookshelf_images/The_Prince.JPG
215,The Python Bible,./bookshelf_images/The_Python_Bible.JPG
216,The Republic,./bookshelf_images/The_Republic.JPG
217,The Rise and Fall of Great Powers,./bookshelf_images/The_Rise_and_Fall_of_Great_Powers.JPG
218,The Room Where it Happened,./bookshelf_images/The_Room_Where_it_Happened.JPG
219,The Science of Secrecy,./bookshelf_images/The_Science_of_Secrecy.JPG
220,The Sword and-Shield,./bookshelf_images/The_Sword_and-Shield.JPG
221,The Tales of Guy de Maupassant,./bookshelf_images/The_Tales_of_Guy_de_Maupassant.JPG
222,The Tangled Web,./bookshelf_images/The_Tangled_Web.JPG
